id_municipio,municipio,populacao,pib_per_capita,educacao_ideb,seg_cvli_estado,infra_agua,infra_esgoto,saude_total_leitos,saude_estabelecimentos,area_km2,densidade_demografica,densidade_demografica_raw
3302007,Itaguaí,124.021 (Fonte: IBGE),"R$ 84.685,25 (Fonte: IBGE)",4.5 (Fonte: INEP),"7,6 (Ano: 2022 - ISP/Inbound)",79.0% (Fonte: SNIS),31.9% (Fonte: SNIS),215 leitos (Fonte: CNES),186 unidades (Fonte: CNES),"277,2 km²","447,5 hab/km²",447.45463073204166
3302601,Mangaratiba,43.660 (Fonte: IBGE),"R$ 73.566,19 (Fonte: IBGE)",5.2 (Fonte: INEP),"7,6 (Ano: 2022 - ISP/Inbound)",92.7% (Fonte: SNIS),Indisponível,62 leitos (Fonte: CNES),44 unidades (Fonte: CNES),"358,1 km²","121,9 hab/km²",121.92806076854335
3305554,Seropédica,84.794 (Fonte: IBGE),"R$ 56.336,97 (Fonte: IBGE)",4.9 (Fonte: INEP),"7,6 (Ano: 2022 - ISP/Inbound)",64.8% (Fonte: SNIS),24.6% (Fonte: SNIS),26 leitos (Fonte: CNES),56 unidades (Fonte: CNES),"285,1 km²","297,4 hab/km²",297.40801795798114
3303203,Nilópolis,155.500 (Fonte: IBGE),"R$ 19.675,15 (Fonte: IBGE)",4.5 (Fonte: INEP),"7,6 (Ano: 2022 - ISP/Inbound)",104.8% (Fonte: SNIS),52.6% (Fonte: SNIS),316 leitos (Fonte: CNES),105 unidades (Fonte: CNES),"19,5 km²","7.982,5 hab/km²",7982.546201232033
3302502,Magé,244.142 (Fonte: IBGE),"R$ 19.520,79 (Fonte: IBGE)",4.5 (Fonte: INEP),"7,6 (Ano: 2022 - ISP/Inbound)",20.1% (Fonte: SNIS),5.2% (Fonte: SNIS),216 leitos (Fonte: CNES),242 unidades (Fonte: CNES),"390,3 km²","625,5 hab/km²",625.4598555105806
3304557,Rio de Janeiro,6.730.729 (Fonte: IBGE),"R$ 53.431,77 (Fonte: IBGE)",4.9 (Fonte: INEP),"7,6 (Ano: 2022 - ISP/Inbound)",100.7% (Fonte: SNIS),90.6% (Fonte: SNIS),21485 leitos (Fonte: CNES),11433 unidades (Fonte: CNES),"1.205,9 km²","5.581,4 hab/km²",5581.359614571326
3302858,Mesquita,178.830 (Fonte: IBGE),"R$ 14.646,47 (Fonte: IBGE)",4.3 (Fonte: INEP),"7,6 (Ano: 2022 - ISP/Inbound)",99.0% (Fonte: SNIS),50.3% (Fonte: SNIS),204 leitos (Fonte: CNES),73 unidades (Fonte: CNES),"39,2 km²","4.556,2 hab/km²",4556.178343949045
3303302,Niterói,516.787 (Fonte: IBGE),"R$ 128.381,19 (Fonte: IBGE)",4.8 (Fonte: INEP),"7,6 (Ano: 2022 - ISP/Inbound)",100.0% (Fonte: SNIS),95.6% (Fonte: SNIS),2984 leitos (Fonte: CNES),843 unidades (Fonte: CNES),"134,6 km²","3.840,9 hab/km²",3840.8547008547007
3305109,São João de Meriti,466.503 (Fonte: IBGE),"R$ 19.214,84 (Fonte: IBGE)",4.3 (Fonte: INEP),"7,6 (Ano: 2022 - ISP/Inbound)",101.5% (Fonte: SNIS),61.2% (Fonte: SNIS),331 leitos (Fonte: CNES),334 unidades (Fonte: CNES),"35,4 km²","13.185,5 hab/km²",13185.500282645562
3305752,Tanguá,32.865 (Fonte: IBGE),"R$ 21.133,39 (Fonte: IBGE)",4.6 (Fonte: INEP),"7,6 (Ano: 2022 - ISP/Inbound)",21.3% (Fonte: SNIS),51.9% (Fonte: SNIS),214 leitos (Fonte: CNES),50 unidades (Fonte: CNES),"146,2 km²","224,8 hab/km²",224.81017853478352
3301900,Itaboraí,240.127 (Fonte: IBGE),"R$ 23.490,64 (Fonte: IBGE)",4.5 (Fonte: INEP),"7,6 (Ano: 2022 - ISP/Inbound)",21.4% (Fonte: SNIS),21.0% (Fonte: SNIS),408 leitos (Fonte: CNES),294 unidades (Fonte: CNES),"432,4 km²","555,3 hab/km²",555.3224948544206
3304904,São Gonçalo,960.196 (Fonte: IBGE),"R$ 21.167,43 (Fonte: IBGE)",4.6 (Fonte: INEP),"7,6 (Ano: 2022 - ISP/Inbound)",103.0% (Fonte: SNIS),38.5% (Fonte: SNIS),1315 leitos (Fonte: CNES),999 unidades (Fonte: CNES),"248,9 km²","3.858,1 hab/km²",3858.0681452909034
3303500,Nova Iguaçu,843.220 (Fonte: IBGE),"R$ 21.103,14 (Fonte: IBGE)",4.3 (Fonte: INEP),"7,6 (Ano: 2022 - ISP/Inbound)",75.5% (Fonte: SNIS),54.7% (Fonte: SNIS),1676 leitos (Fonte: CNES),1122 unidades (Fonte: CNES),"523,7 km²","1.610,1 hab/km²",1610.0588100511723
3302270,Japeri,102.171 (Fonte: IBGE),"R$ 14.976,90 (Fonte: IBGE)",4.1 (Fonte: INEP),"7,6 (Ano: 2022 - ISP/Inbound)",95.7% (Fonte: SNIS),Indisponível,20 leitos (Fonte: CNES),35 unidades (Fonte: CNES),"82,3 km²","1.242,0 hab/km²",1242.0495988329685
3301850,Guapimirim,54.311 (Fonte: IBGE),"R$ 25.114,88 (Fonte: IBGE)",4.8 (Fonte: INEP),"7,6 (Ano: 2022 - ISP/Inbound)",84.3% (Fonte: SNIS),Indisponível,166 leitos (Fonte: CNES),52 unidades (Fonte: CNES),"362,5 km²","149,8 hab/km²",149.83171485323328
3301702,Duque de Caxias,866.225 (Fonte: IBGE),"R$ 61.342,80 (Fonte: IBGE)",4.1 (Fonte: INEP),"7,6 (Ano: 2022 - ISP/Inbound)",95.2% (Fonte: SNIS),40.2% (Fonte: SNIS),1763 leitos (Fonte: CNES),485 unidades (Fonte: CNES),"469,8 km²","1.843,7 hab/km²",1843.6595436744424
3304144,Queimados,149.135 (Fonte: IBGE),"R$ 29.246,78 (Fonte: IBGE)",4.3 (Fonte: INEP),"7,6 (Ano: 2022 - ISP/Inbound)",92.6% (Fonte: SNIS),39.3% (Fonte: SNIS),121 leitos (Fonte: CNES),79 unidades (Fonte: CNES),"76,0 km²","1.961,0 hab/km²",1961.0124917817227
3302700,Maricá,212.470 (Fonte: IBGE),"R$ 403.889,00 (Fonte: IBGE)",5.0 (Fonte: INEP),"7,6 (Ano: 2022 - ISP/Inbound)",29.0% (Fonte: SNIS),3.6% (Fonte: SNIS),213 leitos (Fonte: CNES),171 unidades (Fonte: CNES),"364,3 km²","583,3 hab/km²",583.26012957066
3300456,Belford Roxo,518.384 (Fonte: IBGE),"R$ 17.052,63 (Fonte: IBGE)",4.1 (Fonte: INEP),"7,6 (Ano: 2022 - ISP/Inbound)",99.4% (Fonte: SNIS),43.1% (Fonte: SNIS),564 leitos (Fonte: CNES),226 unidades (Fonte: CNES),"78,2 km²","6.630,6 hab/km²",6630.647224354054
